Datum;Tid;Torkel Knutssonsg;Marsta;Norr Malma;Högdalen;Null
20-12-23;00:00;86.6628;90.8917;94.5886;88.7562;
20-12-24;00:00;87.3142;87.5312;95.7562;91.2844;
20-12-25;00:00;89.6466;90.3423;98.1958;88.0671;
20-12-26;00:00;92.9011;94.4802;98.6542;93.7937;
20-12-27;00:00;83.9747;87.6298;91.4802;84.5673;
20-12-28;00:00;83.1732;85.8994;87.4187;83.178;
20-12-29;00:00;93.3761;95.6636;97.698;94.2917;
20-12-30;00:00;95.8104;96.3584;99.4427;96.8718;
20-12-31;00:00;89.5229;96.0062;99.0854;94.7854;
21-01-01;00:00;90.5425;96.8761;99.6865;96.0563;
21-01-02;00:00;93.4729;95.6469;99.0886;97.3208;
21-01-03;00:00;84.5155;88.777;93.8513;86.6511;
21-01-04;00:00;88.5583;91.2021;89.7979;88.1323;
21-01-05;00:00;84.9397;87.1067;87.6792;85.8573;
21-01-06;00:00;84.2008;82.9496;82.8472;84.0873;
21-01-07;00:00;94.7271;87.2817;92.3865;94.7229;
21-01-08;00:00;95.4708;93.6666;92.798;97.049;
21-01-09;00:00;89.3844;92.1875;90.6167;94.8251;
21-01-10;00:00;91.2255;94.4375;94.4407;92.6312;
21-01-11;00:00;94.3042;98.2969;97.0438;94.7698;
21-01-12;00:00;;;;;
21-01-13;00:00;91.7303;92.3541;97.8542;93.5042;
21-01-14;00:00;92.4667;88.9136;90.8646;94.3157;
21-01-15;00:00;86.4315;84.5322;92.5219;88.7073;
21-01-16;00:00;90.3541;91.1709;97.2886;91.4667;
21-01-17;00:00;86.1703;93.9761;96.699;91.0677;
21-01-18;00:00;83.1416;87.9437;93.4333;86.525;
21-01-19;00:00;85.3361;90.3594;94.3271;87.5386;
21-01-20;00:00;96.5531;95.1406;97.0542;95.9354;
21-01-21;00:00;93.6831;96.2146;97.7073;95.5615;
21-01-22;00:00;87.0535;91.5138;94.3525;88.1477;
21-01-23;00:00;74.3214;82.6025;79.5035;76.024;
21-01-24;00:00;90.5375;93.1438;97.0864;94.0615;
21-01-25;00:00;94.7146;92.9386;96.3552;93.1219;
21-01-26;00:00;89.375;88.198;94.6125;91.8469;
21-01-27;00:00;89.2031;90.4021;93.0875;90.8865;
21-01-28;00:00;93.8605;93.9094;94.9271;92.6594;
21-01-29;00:00;90.1333;94.7656;90.5719;93.1115;
21-01-30;00:00;86.0834;87.1844;91.9125;89.2688;
21-01-31;00:00;87.049;86.7983;90.2108;88.1208;
21-02-01;00:00;84.0219;88.0071;90.5552;86.9573;
21-02-02;00:00;97.3989;89.5875;94.4531;93.999;
21-02-03;00:00;85.4958;86.6094;89.9106;87.9333;
21-02-04;00:00;85.2888;84.7057;90.674;86.2852;
21-02-05;00:00;86.5736;89.1198;87.1449;86.6195;
21-02-06;00:00;80.2321;85.1184;89.069;82.4694;
21-02-07;00:00;86.9073;88.6263;92.9386;87.8334;
21-02-08;00:00;83.4954;88.5686;89.1078;84.3816;
21-02-09;00:00;75.2344;81.8362;82.3064;78.0947;
21-02-10;00:00;79.9341;84.6848;86.3667;81.9519;
21-02-11;00:00;84.2698;84.7253;90.1427;85.4614;
21-02-12;00:00;80.072;77.0729;90.224;81.8484;
21-02-13;00:00;62.0333;61.5127;80.3038;63.8714;
21-02-14;00:00;64.9479;65.8848;81.599;66.0808;
21-02-15;00:00;68.1772;81.7225;79.9984;72.0699;
21-02-16;00:00;74.3641;84.9106;85.3955;75.6919;
21-02-17;00:00;75.0382;76.7783;77.6782;75.8392;
21-02-18;00:00;72.3112;78.5653;80.458;72.5442;
21-02-19;00:00;93.3177;92.6875;93.8271;92.1636;
21-02-20;00:00;91.9802;95.9219;97.6532;93.2562;
21-02-21;00:00;88.9471;96.8354;97.5928;90.2771;
21-02-22;00:00;97.0177;98.551;98.8458;95.6771;
21-02-23;00:00;96.2667;97.9802;99.6302;96.6031;
21-02-24;00:00;91.423;93.8187;93.8083;92.0011;
